,experiment_id,well,cells_ml_mean,cells_ml_std
192,experiment.transcriptic.r1dvbs7kdxq4md,a6,1696182.7380925,1450603.3246663404
193,experiment.transcriptic.r1dvbs7kdxq4md,a7,1702813.1929025,1183745.830824624
194,experiment.transcriptic.r1dvbs7kdxq4md,a8,791633.333335,1141199.5868534727
195,experiment.transcriptic.r1dvbs7kdxq4md,a9,1408649.3599775,1143175.1255258338
196,experiment.transcriptic.r1dvbs7kdxq4md,b1,758074.4306425,956983.784100161
197,experiment.transcriptic.r1dvbs7kdxq4md,b10,12249.9999975,17893.558741175242
198,experiment.transcriptic.r1dvbs7kdxq4md,b11,1414776.5151525,1135265.0172484403
199,experiment.transcriptic.r1dvbs7kdxq4md,b12,2292366.9467775,1057272.0039885857
200,experiment.transcriptic.r1dvbs7kdxq4md,b2,1720.8333324999999,1450.1835744362897
201,experiment.transcriptic.r1dvbs7kdxq4md,b3,44529.1666675,77387.29962397295
202,experiment.transcriptic.r1dvbs7kdxq4md,b4,276629.90196,405429.06876393076
203,experiment.transcriptic.r1dvbs7kdxq4md,b5,63533.3333325,108685.39460353855
204,experiment.transcriptic.r1dvbs7kdxq4md,b6,359316.6666675,594736.1078347055
205,experiment.transcriptic.r1dvbs7kdxq4md,b7,1495255.9523825,989632.1387171065
206,experiment.transcriptic.r1dvbs7kdxq4md,b8,1220422.348485,1072739.879591536
207,experiment.transcriptic.r1dvbs7kdxq4md,b9,1510765.5502375,1034189.4323702048
208,experiment.transcriptic.r1dvbs7kdxq4md,c1,339915.70512999996,543498.9429241462
209,experiment.transcriptic.r1dvbs7kdxq4md,c10,190918.47826,308129.9565519192
210,experiment.transcriptic.r1dvbs7kdxq4md,c11,165251.6025625,274542.78458065895
211,experiment.transcriptic.r1dvbs7kdxq4md,c12,311819.6428575,507558.11699377996
212,experiment.transcriptic.r1dvbs7kdxq4md,c2,3008.3333350000003,3984.2862631797634
213,experiment.transcriptic.r1dvbs7kdxq4md,c3,371415.70512999996,523222.6474128629
214,experiment.transcriptic.r1dvbs7kdxq4md,c4,695738.9705875,793629.3940165822
215,experiment.transcriptic.r1dvbs7kdxq4md,c5,52579.166665,93337.54987884276
216,experiment.transcriptic.r1dvbs7kdxq4md,c6,107908.333335,187709.0170796561
217,experiment.transcriptic.r1dvbs7kdxq4md,c7,2084224.5989299999,871514.2101520409
218,experiment.transcriptic.r1dvbs7kdxq4md,c8,1674557.3819300001,1060979.8991838524
219,experiment.transcriptic.r1dvbs7kdxq4md,c9,413778.62318749994,598934.9285611459
220,experiment.transcriptic.r1dvbs7kdxq4md,d1,233841.66666750002,399671.26410291786
221,experiment.transcriptic.r1dvbs7kdxq4md,d10,32741.6666675,56418.194630591606
