,experiment,experiment_id,well,strain,lab,strain_name,media_type,inducer_type,inducer_concentration,inducer_concentration_unit,temperature,temperature_unit,od,dead,ungrowing,doubling_time,n0,RF_prediction_mean,RF_prediction_std
59,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,f1,UWBF_32302,transcriptic,CRISPR_CEN.PK2_positive_control_yeVenus_32302,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3584495349677517,False,False,0.9999999999963902,4.849657341615398e-22,0.948825,0.029448541119622126
60,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,f10,UWBF_24962,transcriptic,CRISPR_CEN.PK2_24962,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.2649031698665023,False,False,0.9999999999959872,5.386088815617437e-22,0.9956166666666668,0.000957427107756342
61,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,f11,UWBF_24962,transcriptic,CRISPR_CEN.PK2_24962,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3783792400617971,False,False,0.9999999999955712,5.9391164084523895e-22,0.9910666666666668,0.005904988474915885
62,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,f12,UWBF_24962,transcriptic,CRISPR_CEN.PK2_24962,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3698974479240271,False,False,0.9999999999955632,5.949803517343091e-22,0.9943916666666666,0.0005404901753312891
63,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,f3,UWBF_24962,transcriptic,CRISPR_CEN.PK2_24962,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3340777385831712,False,False,0.9999999999955924,5.910867867416279e-22,0.9960833333333332,0.0007852812659593753
64,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,f4,UWBF_24962,transcriptic,CRISPR_CEN.PK2_24962,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3308837764325645,False,False,0.9999999999953676,6.210256358165757e-22,0.9948083333333334,0.0008070866675202142
65,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,f5,UWBF_24962,transcriptic,CRISPR_CEN.PK2_24962,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.320051340657295,False,False,0.9999999999958796,5.529116744580954e-22,0.9926416666666666,0.004636040376266193
66,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,f6,UWBF_24962,transcriptic,CRISPR_CEN.PK2_24962,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3601418928690074,False,False,0.9999999999957856,5.654025863837862e-22,0.995275,0.0009833333333333339
67,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,f7,UWBF_24962,transcriptic,CRISPR_CEN.PK2_24962,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.326802893855345,False,False,0.9999999999954444,6.1080947057540565e-22,0.9947416666666666,0.0006551081335677695
68,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,f8,UWBF_24962,transcriptic,CRISPR_CEN.PK2_24962,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.268945348018395,False,False,0.9999999999957984,5.636993536478799e-22,0.9945166666666668,0.000725462815240188
69,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,f9,UWBF_24962,transcriptic,CRISPR_CEN.PK2_24962,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.292199248076504,False,False,0.9999999999956526,5.83102959022714e-22,0.9932833333333332,0.003170991199165505
70,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,g1,UWBF_23970,transcriptic,CRISPR_CEN.PK2_negative_control_23970,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3089421104747716,False,False,0.9999999999960014,5.366952186016481e-22,0.9966916666666668,0.0015314904384170845
71,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,g10,UWBF_24963,transcriptic,CRISPR_CEN.PK2_24963,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3832177291264742,False,False,0.999999999995511,6.019306075843152e-22,0.9940416666666666,0.0006579288490181896
72,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,g11,UWBF_24963,transcriptic,CRISPR_CEN.PK2_24963,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.4163066620565128,False,False,0.9999999999948892,6.846361480393302e-22,0.995625,0.0017043245648121937
73,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,g12,UWBF_24963,transcriptic,CRISPR_CEN.PK2_24963,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3418122602578142,False,False,0.9999999999955304,5.9936020845429185e-22,0.9939166666666668,0.0012154864900143652
74,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,g3,UWBF_24963,transcriptic,CRISPR_CEN.PK2_24963,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.361933333374788,False,False,0.999999999995714,5.749305115059181e-22,0.995475,0.0013127226442553553
75,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,g4,UWBF_24963,transcriptic,CRISPR_CEN.PK2_24963,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.261398286677823,False,False,0.9999999999957259,5.733129048881081e-22,0.9954666666666668,0.0009169191571457346
